Analysis Type,File Name,Label,Value,Is VAT/Tax Related
All Labels,IMG0026_638882810128657927.jpg,Currency,N/A,No
All Labels,IMG0026_638882810128657927.jpg,Invoice Date,N/A,No
All Labels,IMG0026_638882810128657927.jpg,Invoice ID,N/A,No
All Labels,IMG0026_638882810128657927.jpg,Supplier Name,N/A,No
All Labels,IMG0026_638882810128657927.jpg,Total Amount,N/A,No
All Labels,IMG0028_638882810129519386.jpg,Currency,N/A,No
All Labels,IMG0028_638882810129519386.jpg,Invoice Date,N/A,No
All Labels,IMG0028_638882810129519386.jpg,Invoice ID,N/A,No
All Labels,IMG0028_638882810129519386.jpg,Supplier Name,N/A,No
All Labels,IMG0028_638882810129519386.jpg,Total Amount,N/A,No
All Labels,IMG0029_638882808423656106.jpg,Currency,N/A,No
All Labels,IMG0029_638882808423656106.jpg,Invoice Date,N/A,No
All Labels,IMG0029_638882808423656106.jpg,Invoice ID,N/A,No
All Labels,IMG0029_638882808423656106.jpg,Supplier Name,N/A,No
All Labels,IMG0029_638882808423656106.jpg,Total Amount,N/A,No
All Labels,IMG0030_638882808424482241.jpg,Currency,N/A,No
All Labels,IMG0030_638882808424482241.jpg,Invoice Date,N/A,No
All Labels,IMG0030_638882808424482241.jpg,Invoice ID,N/A,No
All Labels,IMG0030_638882808424482241.jpg,Supplier Name,N/A,No
All Labels,IMG0030_638882808424482241.jpg,Total Amount,N/A,No
All Labels,IMG0031_638882808425549040.jpg,Currency,N/A,No
All Labels,IMG0031_638882808425549040.jpg,Invoice Date,N/A,No
All Labels,IMG0031_638882808425549040.jpg,Invoice ID,N/A,No
All Labels,IMG0031_638882808425549040.jpg,Supplier Name,N/A,No
All Labels,IMG0031_638882808425549040.jpg,Total Amount,N/A,No
All Labels,IMG0033_638882808426564082.jpg,Currency,N/A,No
All Labels,IMG0033_638882808426564082.jpg,Invoice Date,N/A,No
All Labels,IMG0033_638882808426564082.jpg,Invoice ID,N/A,No
All Labels,IMG0033_638882808426564082.jpg,Supplier Name,N/A,No
All Labels,IMG0033_638882808426564082.jpg,Total Amount,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Currency,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Invoice Date,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Invoice ID,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Item,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Item Amount,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Item Quantity,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Supplier Name,N/A,No
All Labels,IMG0036_638882808429891937.jpg,Total Amount,N/A,No
All Labels,IMG0036_638882808429891937.jpg,unit price,N/A,No
All Labels,IMG0036_638882808429891937.jpg,vat_percent,N/A,Yes
All Labels,IMG0037_638882808430742491.jpg,Invoice Date,N/A,No
All Labels,IMG0037_638882808430742491.jpg,Invoice ID,N/A,No
All Labels,IMG0037_638882808430742491.jpg,Supplier Name,N/A,No
All Labels,IMG0037_638882808430742491.jpg,Tax Amount,N/A,Yes
All Labels,IMG0037_638882808430742491.jpg,Total Amount,N/A,No
All Labels,IMG0037_638882808430742491.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0043_638882810137603510.jpg,Currency,N/A,No
All Labels,IMG0043_638882810137603510.jpg,Invoice Date,N/A,No
All Labels,IMG0043_638882810137603510.jpg,Invoice ID,N/A,No
All Labels,IMG0043_638882810137603510.jpg,Item,N/A,No
All Labels,IMG0043_638882810137603510.jpg,Item Amount,N/A,No
All Labels,IMG0043_638882810137603510.jpg,Item Quantity,N/A,No
All Labels,IMG0043_638882810137603510.jpg,Supplier Name,N/A,No
All Labels,IMG0043_638882810137603510.jpg,Tax Amount,N/A,Yes
All Labels,IMG0043_638882810137603510.jpg,Total Amount,N/A,No
All Labels,IMG0043_638882810137603510.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0043_638882810137603510.jpg,unit price,N/A,No
All Labels,IMG0043_638882810137603510.jpg,vat_percent,N/A,Yes
All Labels,IMG0095_638882810139090472.jpg,Invoice Date,N/A,No
All Labels,IMG0095_638882810139090472.jpg,Invoice ID,N/A,No
All Labels,IMG0095_638882810139090472.jpg,Item,N/A,No
All Labels,IMG0095_638882810139090472.jpg,Item Amount,N/A,No
All Labels,IMG0095_638882810139090472.jpg,Item Quantity,N/A,No
All Labels,IMG0095_638882810139090472.jpg,Supplier Name,N/A,No
All Labels,IMG0095_638882810139090472.jpg,unit price,N/A,No
All Labels,IMG0095_638882810139090472.jpg,vat_percent,N/A,Yes
All Labels,IMG0096_638882810140223019.jpg,Currency,N/A,No
All Labels,IMG0096_638882810140223019.jpg,Invoice Date,N/A,No
