Analysis Type,File Name,Label,Value,Is VAT/Tax Related
All Labels,IMG0275_638882806605737310.jpg,Receipt Date,N/A,No
All Labels,IMG0275_638882806605737310.jpg,Receipt ID,N/A,No
All Labels,IMG0275_638882806605737310.jpg,Supplier Name,N/A,No
All Labels,IMG0275_638882806605737310.jpg,Total Amount,N/A,No
All Labels,IMG0276_638882806607548155.jpg,Receipt Date,N/A,No
All Labels,IMG0276_638882806607548155.jpg,Receipt ID,N/A,No
All Labels,IMG0276_638882806607548155.jpg,Supplier Name,N/A,No
All Labels,IMG0276_638882806607548155.jpg,Total Amount,N/A,No
All Labels,IMG0277_638882806609055308.jpg,Receipt Date,N/A,No
All Labels,IMG0277_638882806609055308.jpg,Receipt ID,N/A,No
All Labels,IMG0277_638882806609055308.jpg,Supplier Name,N/A,No
All Labels,IMG0277_638882806609055308.jpg,Total Amount,N/A,No
All Labels,IMG0278_638882806610002041.jpg,Receipt Date,N/A,No
All Labels,IMG0278_638882806610002041.jpg,Receipt ID,N/A,No
All Labels,IMG0278_638882806610002041.jpg,Supplier Name,N/A,No
All Labels,IMG0278_638882806610002041.jpg,Total Amount,N/A,No
All Labels,IMG0279_638882806611263996.jpg,Item,N/A,No
All Labels,IMG0279_638882806611263996.jpg,Receipt Date,N/A,No
All Labels,IMG0279_638882806611263996.jpg,Supplier Name,N/A,No
All Labels,IMG0279_638882806611263996.jpg,Total Amount,N/A,No
All Labels,IMG0280_638882806612691844.jpg,Item,N/A,No
All Labels,IMG0280_638882806612691844.jpg,Receipt Date,N/A,No
All Labels,IMG0280_638882806612691844.jpg,Supplier Name,N/A,No
All Labels,IMG0280_638882806612691844.jpg,Total Amount,N/A,No
All Labels,IMG0281_638882806613585659.jpg,Item,N/A,No
All Labels,IMG0281_638882806613585659.jpg,Item Amount,N/A,No
All Labels,IMG0281_638882806613585659.jpg,Item Quantity,N/A,No
All Labels,IMG0281_638882806613585659.jpg,Receipt Date,N/A,No
All Labels,IMG0281_638882806613585659.jpg,Supplier Name,N/A,No
All Labels,IMG0281_638882806613585659.jpg,Tax Amount,N/A,Yes
All Labels,IMG0281_638882806613585659.jpg,Total Amount,N/A,No
All Labels,IMG0281_638882806613585659.jpg,Unit Price,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Currency,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Item,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Item Amount,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Item Code,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Item Quantity,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Receipt Date,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Supplier Name,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Tax Amount,N/A,Yes
All Labels,IMG0282_638882806614328589.jpg,Total Amount,N/A,No
All Labels,IMG0282_638882806614328589.jpg,Unit Price,N/A,No
All Labels,IMG0282_638882806614328589.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0283_638882806615293259.jpg,Currency,N/A,No
