Analysis Type,File Name,Label,Value,Is VAT/Tax Related
All Labels,IMG0032_638882810130888611.jpg,Receipt Date,N/A,No
All Labels,IMG0032_638882810130888611.jpg,Supplier Name,N/A,No
All Labels,IMG0032_638882810130888611.jpg,Total Amount,N/A,No
All Labels,IMG0034_638882808427632368.jpg,Item Amount,N/A,No
All Labels,IMG0034_638882808427632368.jpg,Receipt Date,N/A,No
All Labels,IMG0034_638882808427632368.jpg,Receipt ID,N/A,No
All Labels,IMG0034_638882808427632368.jpg,Supplier Name,N/A,No
All Labels,IMG0034_638882808427632368.jpg,Total Amount,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Currency,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Item,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Item Amount,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Item Code,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Item Quantity,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Receipt Date,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Supplier Name,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Tax Amount,N/A,Yes
All Labels,IMG0038_638882810133170703.jpg,Total Amount,N/A,No
All Labels,IMG0038_638882810133170703.jpg,Unit Price,N/A,No
All Labels,IMG0038_638882810133170703.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0039_638882810134066471.jpg,Currency,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Item,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Item Amount,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Item Code,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Item Quantity,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Receipt Date,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Supplier Name,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Tax Amount,N/A,Yes
All Labels,IMG0039_638882810134066471.jpg,Total Amount,N/A,No
All Labels,IMG0039_638882810134066471.jpg,Unit Price,N/A,No
All Labels,IMG0039_638882810134066471.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0041_638882810135075900.jpg,Item,N/A,No
All Labels,IMG0041_638882810135075900.jpg,Item Amount,N/A,No
All Labels,IMG0041_638882810135075900.jpg,Receipt Date,N/A,No
All Labels,IMG0041_638882810135075900.jpg,Supplier Name,N/A,No
All Labels,IMG0041_638882810135075900.jpg,Total Amount,N/A,No
All Labels,IMG0041_638882810135075900.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0042_638882810136603713.jpg,Currency,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Item,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Item Amount,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Item Quantity,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Receipt Date,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Receipt ID,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Supplier Name,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Tax Amount,N/A,Yes
All Labels,IMG0042_638882810136603713.jpg,Total Amount,N/A,No
All Labels,IMG0042_638882810136603713.jpg,Unit Price,N/A,No
All Labels,IMG0042_638882810136603713.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0097_638882808432718908.jpg,Currency,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Item,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Item Amount,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Item Code,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Item Quantity,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Receipt Date,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Supplier Name,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Tax Amount,N/A,Yes
All Labels,IMG0097_638882808432718908.jpg,Total Amount,N/A,No
All Labels,IMG0097_638882808432718908.jpg,Unit Price,N/A,No
All Labels,IMG0097_638882808432718908.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0099_638882808434877702.jpg,Currency,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Item,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Item Amount,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Item Quantity,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Receipt Date,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Receipt ID,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Supplier Name,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Tax Amount,N/A,Yes
All Labels,IMG0099_638882808434877702.jpg,Total Amount,N/A,No
All Labels,IMG0099_638882808434877702.jpg,Unit Price,N/A,No
All Labels,IMG0099_638882808434877702.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0100_638882808435586087.jpg,Item,N/A,No
All Labels,IMG0100_638882808435586087.jpg,Item Amount,N/A,No
All Labels,IMG0100_638882808435586087.jpg,Item Quantity,N/A,No
All Labels,IMG0100_638882808435586087.jpg,Receipt Date,N/A,No
All Labels,IMG0100_638882808435586087.jpg,Receipt ID,N/A,No
All Labels,IMG0100_638882808435586087.jpg,Supplier Name,N/A,No
All Labels,IMG0100_638882808435586087.jpg,Tax Amount,N/A,Yes
All Labels,IMG0100_638882808435586087.jpg,Total Amount,N/A,No
All Labels,IMG0100_638882808435586087.jpg,Unit Price,N/A,No
All Labels,IMG0100_638882808435586087.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0101_638882808436400464.jpg,Currency,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Item,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Item Amount,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Item Code,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Item Quantity,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Receipt Date,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Supplier Name,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Tax Amount,N/A,Yes
All Labels,IMG0101_638882808436400464.jpg,Total Amount,N/A,No
All Labels,IMG0101_638882808436400464.jpg,Unit Price,N/A,No
All Labels,IMG0101_638882808436400464.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0102_638882808437530402.jpg,Currency,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Item,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Item Amount,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Item Quantity,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Receipt Date,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Receipt ID,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Supplier Name,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Tax Amount,N/A,Yes
All Labels,IMG0102_638882808437530402.jpg,Total Amount,N/A,No
All Labels,IMG0102_638882808437530402.jpg,Unit Price,N/A,No
All Labels,IMG0103_638882808438341470.jpg,Receipt Date,N/A,No
All Labels,IMG0103_638882808438341470.jpg,Supplier Name,N/A,No
All Labels,IMG0103_638882808438341470.jpg,Total Amount,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Currency,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Item,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Item Amount,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Item Code,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Receipt Date,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Supplier Name,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Total Amount,N/A,No
All Labels,IMG0111_638882808782864478.jpg,Unit Price,N/A,No
All Labels,IMG0111_638882808782864478.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0112_638882808783777067.jpg,Currency,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Item,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Item Amount,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Item Code,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Item Quantity,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Receipt Date,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Supplier Name,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Tax Amount,N/A,Yes
All Labels,IMG0112_638882808783777067.jpg,Total Amount,N/A,No
All Labels,IMG0112_638882808783777067.jpg,Unit Price,N/A,No
All Labels,IMG0112_638882808783777067.jpg,VAT/Tax Code,N/A,Yes
All Labels,IMG0113_638882808784444965.jpg,Currency,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Item,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Item Amount,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Item Code,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Item Quantity,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Receipt Date,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Supplier Name,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Tax Amount,N/A,Yes
All Labels,IMG0113_638882808784444965.jpg,Total Amount,N/A,No
All Labels,IMG0113_638882808784444965.jpg,Unit Price,N/A,No
